time,x,y,z
0.004,0.18,0.81,0.02
0.005,0.16,0.55,0.02
0.008,0.18,0.25,0.01
0.024,0.10,-0.10,0.02
0.030,0.05,-0.43,0.02
0.031,-0.00,-0.71,0.02
0.032,-0.09,-0.95,0.01
0.033,-0.11,-1.09,0.01
0.034,-0.17,-1.13,0.02
0.058,-0.17,-1.08,0.02
0.059,-0.19,-0.93,0.02
0.060,-0.14,-0.67,0.02
0.061,0.04,-0.37,-0.00
0.062,0.10,-0.01,-0.03
0.063,0.11,0.24,-0.01
0.081,0.08,0.57,-0.02
0.082,0.08,0.82,-0.01
0.083,0.05,0.96,-0.02
0.083,0.04,1.04,-0.02
0.105,0.00,0.98,-0.01
0.115,0.03,0.86,-0.01
0.116,0.04,0.66,-0.01
0.120,0.03,0.42,-0.00
0.127,0.01,0.16,-0.02
0.128,0.01,-0.13,-0.00
0.130,-0.00,-0.39,-0.01
0.132,-0.01,-0.62,0.01
0.137,-0.00,-0.78,-0.01
0.138,-0.00,-0.90,0.00
0.139,-0.01,-0.94,-0.00
0.140,-0.06,-0.89,-0.00
0.141,-0.07,-0.72,-0.01
0.142,-0.10,-0.53,-0.00
0.148,-0.09,-0.26,-0.00
0.149,-0.08,0.02,0.01
0.165,-0.05,0.31,-0.02
0.167,-0.02,0.54,-0.01
0.168,0.04,0.72,-0.03
0.171,0.06,0.82,-0.01
0.172,0.09,0.81,-0.01
0.197,0.10,0.73,-0.02
0.199,0.13,0.61,-0.02
0.200,0.16,0.44,-0.01
0.200,0.14,0.22,-0.01
0.202,0.11,0.02,-0.00
0.203,0.07,-0.20,-0.00
0.204,-0.01,-0.43,-0.00
0.225,-0.09,-0.55,-0.00
0.228,-0.15,-0.60,0.00
0.229,-0.20,-0.64,0.00
0.231,-0.16,-0.67,0.02
0.231,-0.16,-0.57,-0.01
0.232,-0.15,-0.43,-0.00
0.235,0.04,-0.25,-0.00
0.237,0.10,-0.05,-0.02
0.242,0.11,0.11,0.00
0.256,0.10,0.30,-0.01
0.257,0.10,0.43,-0.02
0.258,0.07,0.56,0.00
0.260,0.04,0.61,-0.03
0.267,0.02,0.59,-0.01
0.268,-0.02,0.52,-0.02
0.272,-0.02,0.41,-0.00
0.277,-0.01,0.27,-0.02
0.295,0.01,0.10,-0.02
0.296,0.02,-0.06,-0.01
0.297,0.04,-0.22,-0.01
0.298,0.04,-0.33,-0.02
0.320,0.01,-0.44,-0.02
0.321,-0.04,-0.50,-0.01
0.322,-0.04,-0.54,-0.00
0.323,-0.10,-0.50,-0.00
0.324,-0.09,-0.40,-0.01
0.325,-0.11,-0.24,0.02
0.327,-0.10,-0.11,-0.00
0.340,-0.09,0.03,-0.01
0.340,-0.03,0.18,-0.00
0.341,0.02,0.30,-0.01
0.345,0.04,0.41,-0.02
0.349,0.08,0.42,-0.01
0.352,0.11,0.41,-0.01
0.357,0.11,0.32,-0.01
0.363,0.10,0.27,-0.00
0.386,0.10,0.16,-0.02
0.388,0.08,0.09,-0.01
0.388,0.05,-0.01,-0.02
